pid,trial,staircase,volumeSize,visualSize,response,reversal,step
3,227,B,1,,,,
3,228,A,1,,,,
3,229,B,1,,,,
3,230,A,1,,,,
3,231,B,1,,,,
3,232,A,1,,,,
3,233,B,1,,,,
3,234,A,1,,,,
3,235,B,1,,,,
3,236,A,1,,,,
3,237,B,1,,,,
3,238,A,1,,,,
3,239,B,1,,,,
3,240,A,1,,,,
3,241,B,1,,,,
3,242,A,1,,,,
3,243,B,1,,,,
3,244,A,1,,,,
3,245,B,1,,,,
3,246,A,1,,,,
3,247,B,1,,,,
3,248,A,1,,,,
3,249,B,1,,,,
3,250,A,1,,,,
3,251,B,1,,,,
3,252,A,1,,,,
3,253,B,1,,,,
3,254,A,1,,,,
3,255,B,1,,,,
3,256,A,1,,,,
3,257,B,1,,,,
3,258,A,1,,,,
3,259,B,1,,,,
3,260,A,1,,,,
3,261,B,1,,,,
3,262,A,1,,,,
3,263,B,1,,,,
3,264,A,1,,,,
3,265,B,1,,,,
3,266,A,1,,,,
3,267,B,1,,,,
3,268,A,1,,,,
3,269,B,1,,,,
3,270,A,1,,,,
3,271,B,1,,,,
3,272,A,1,,,,
3,273,B,1,,,,
3,274,A,1,,,,
3,275,B,1,,,,
3,276,A,1,,,,
3,277,B,1,,,,
3,278,A,1,,,,
3,279,B,1,,,,
3,280,A,1,,,,
3,281,B,1,,,,
3,282,A,1,,,,
3,283,B,1,,,,
3,284,A,1,,,,
3,285,B,1,,,,
3,286,A,1,,,,
3,287,B,1,,,,
3,288,A,1,,,,
3,289,B,1,,,,
3,290,A,1,,,,
3,291,B,1,,,,
3,292,A,1,,,,
3,293,B,1,,,,
3,294,A,1,,,,
3,295,B,1,,,,
3,296,A,1,,,,
3,297,B,1,,,,
3,298,A,1,,,,
3,299,B,1,,,,
