pid,trial,staircase,volumeSize,visualSize,response,reversal,step
7,263,B,1,,,,
7,264,A,1,,,,
7,265,B,1,,,,
7,266,A,1,,,,
7,267,B,1,,,,
7,268,A,1,,,,
7,269,B,1,,,,
7,270,A,1,,,,
7,271,B,1,,,,
7,272,A,1,,,,
7,273,B,1,,,,
7,274,A,1,,,,
7,275,B,1,,,,
7,276,A,1,,,,
7,277,B,1,,,,
7,278,A,1,,,,
7,279,B,1,,,,
7,280,A,1,,,,
7,281,B,1,,,,
7,282,A,1,,,,
7,283,B,1,,,,
7,284,A,1,,,,
7,285,B,1,,,,
7,286,A,1,,,,
7,287,B,1,,,,
7,288,A,1,,,,
7,289,B,1,,,,
7,290,A,1,,,,
7,291,B,1,,,,
7,292,A,1,,,,
7,293,B,1,,,,
7,294,A,1,,,,
7,295,B,1,,,,
7,296,A,1,,,,
7,297,B,1,,,,
7,298,A,1,,,,
7,299,B,1,,,,
